Company,Role,Location,Link
Electronic Arts,Software Engineer Intern -,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-Intern/210906?utm_source=Simplify&ref=Simplify
Autodesk,Intern – Software Developer,"Toronto, ON, Canada",https://autodesk.wd1.myworkdayjobs.com/en-US/uni/job/Toronto-ON-CAN/Intern--Software-Developer_25WD92343?utm_source=Simplify&ref=Simplify
Qualcomm,FY26 Intern – GPU Compiler Development Internship - Canada - 4 Months - Interim Engineering Intern - SW - 12338 QCT Graphics Compiler HLC Canada ONT,"Markham, ON, Canada",https://qualcomm.eightfold.ai/careers/job/446715134609?utm_source=Simplify&ref=Simplify
MongoDB,2026 – Software Engineering Intern - Toronto,"Toronto, ON, Canada",https://www.mongodb.com/careers/job/?gh_jid=7239049&utm_source=Simplify&ref=Simplify
Electronic Arts,Software Development Intern,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Development-Intern/210855?utm_source=Simplify&ref=Simplify
Hitachi,"Software Analyst Intern - Research and Technology - C++, Python, Git, Docker","Toronto, ON, Canada",https://gtsgbu.wd3.myworkdayjobs.com/Careers/job/Toronto/Software-Analyst-Intern---C----Python--Git--Docker--8-months_R1010726?utm_source=Simplify&ref=Simplify
Seaspan,Intern - Digital Ship - Digital Ship,"Vancouver, BC, Canada",https://hckz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/job/8009?utm_source=Simplify&ref=Simplify
Electronic Arts,Software Engineer Intern/Co-op - UFC Team,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-Co-op-UFC-8-Month-Term/210887?utm_source=Simplify&ref=Simplify
Electronic Arts,Software Engineer Intern - Sports Technology,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-Co-op-Sports-Tech-ATG/210860?utm_source=Simplify&ref=Simplify
🔥 DoorDash,Software Engineer Intern - Multiple Teams,"Toronto, ON, Canada",https://job-boards.greenhouse.io/doordashcanada/jobs/7263628?utm_source=Simplify&ref=Simplify
Electronic Arts,Online Software Engineer Co-op,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Online-Software-Engineer-Co-op/210922?utm_source=Simplify&ref=Simplify
Electronic Arts,C++ Software Engineer Intern/Co-op - UI Tech Stack,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/VINU-C-Software-Engineer-Co-op/210935?utm_source=Simplify&ref=Simplify
↳,Software Engineer Intern - NHL,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-Co-op-NHL/210839?utm_source=Simplify&ref=Simplify
Electronic Arts,Software Engineer Intern/Co-op - Client Software Engineering,"Vancouver, BC, Canada",https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-Co-op/210900?utm_source=Simplify&ref=Simplify
🔥 Lyft,Software Engineer Intern - Test Automation,"Montreal, QC, Canada",https://app.careerpuck.com/job-board/lyft/job/8168731002?gh_jid=8168731002&utm_source=Simplify&ref=Simplify
🔥 Robinhood,Software Developer Intern - Web,"Toronto, ON, Canada",https://boards.greenhouse.io/robinhood/jobs/7238998?utm_source=Simplify&ref=Simplify
CIBC,Application/Software Developer Co-op - Capital Markets Technology,"Toronto, ON, Canada",https://cibc.wd3.myworkdayjobs.com/campus/job/Toronto-ON/Application-Software-Developer-Co-op---Capital-Markets-Technology_2521364?utm_source=Simplify&ref=Simplify
Tenstorrent,AI Compiler Software Intern - Pey,"Toronto, ON, Canada",https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4873659007?utm_source=Simplify&ref=Simplify
🔥 Atlassian,Software Engineer Intern,"British Columbia, Canada",https://campus-globalcareers-atlassian.icims.com/jobs/21019/software-engineer-intern%2c-2026-summer-canada/job?utm_source=Simplify&ref=Simplify
🔥 Lyft,Software Engineer Intern - Mobile Android,"Toronto, ON, Canada",https://app.careerpuck.com/job-board/lyft/job/8131695002?gh_jid=8131695002&utm_source=Simplify&ref=Simplify
↳,Software Engineer Intern - Backend,"Toronto, ON, Canada",https://app.careerpuck.com/job-board/lyft/job/8128890002?gh_jid=8128890002&utm_source=Simplify&ref=Simplify
Squarepoint Capital,Intern Software Developer,"Montreal, QC, CanadaLondon, UK",https://boards.greenhouse.io/embed/job_app?token=7231006&utm_source=Simplify&ref=Simplify
Varian,Software Developer Co-op,"Winnipeg, MB, Canada",https://onehealthineers.wd3.myworkdayjobs.com/SHSJB/job/YWG-BW/Software-Developer-Co-op_R-23789?utm_source=Simplify&ref=Simplify
🔥 Stripe,Software Engineer – Intern,"Toronto, ON, Canada",https://stripe.com/jobs/search?gh_jid=7206389&utm_source=Simplify&ref=Simplify
🔥 Roblox,Software Engineer Intern,"Vancouver, BC, Canada",https://careers.roblox.com/jobs/7206219?gh_jid=7206219&utm_source=Simplify&ref=Simplify
Lumentum,Process Software Automation Co-op/Intern,"Ottawa, ON, Canada",https://lumentum.wd5.myworkdayjobs.com/lite/job/Canada---Ottawa-Bill-Leathem/Process-Software-Automation-Co-op-Intern_20251390?utm_source=Simplify&ref=Simplify
